id;code;year;points;teaching_period;subject_id
1;scalable;16526;7455;Administrator;8
2;orange Books;81546;19884;monitor 1080p Checking Account;10
3;deposit Internal;85003;62329;archive Fantastic Plastic Chicken;4
4;pixel withdrawal;88721;56124;embrace Developer;9
5;hard drive Robust Networked;4043;52273;partnerships Grocery Intelligent;1
6;withdrawal knowledge base Buckinghamshire;90756;13933;Investment Account;6
7;white Brand Money Market Account;69478;16122;Web virtual deposit;9
8;digital maroon;89255;88328;projection Fresh;4
9;Direct;27213;22793;synergies copying;9
10;Games;51074;53408;Bedfordshire Bahamian Dollar;3
