id;guid;name;description
1;mobile Fish;Home Loan Account Table Computer;Trace
2;Savings Account alarm;Tasty Metal Bacon;red Chips Soap
3;Home Loan Account;web-readiness;Namibia
4;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire
5;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key
6;infomediaries;Investment Account;Games Regional Digitized
7;copy convergence;Mayotte;Industrial
8;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable
10;Small;deliverables reinvent 24 hour;overriding
