id;guid;entity_guid;contact;contact_type;media_type
1;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;CAMPUS;WEB_SITE
2;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;CAMPUS;WEB_SITE
3;enhance Multi-channelled purple;Response;white SMTP;CAMPUS;PHONE
4;SAS;Planner Refined;engage Granite Grocery;PAPER;EMAIL
5;withdrawal Jamaica;International;Luxembourg Spurs;CAMPUS;MOBILE_PHONE
6;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;SUBJECT;MOBILE_PHONE
7;Mouse Rupiah;Human Mission;Officer Savings Account Automated;TEACHING_STAFF;MOBILE_PHONE
8;Island cyan;Granite open architecture;Ergonomic Soft Shoes;TEACHING_STAFF;PHONE
9;Home;primary quantify Chips;Guyana;SUBJECT;PHONE
10;feed;connecting generate Music;Inlet Hungary Configurable;SUBJECT;WEB_SITE
