id;code;year;points;teaching_period
1;Maine PCI SAS;23668;94724;Planner navigate repurpose
2;Buckinghamshire;37798;55840;communities National Cotton
3;Advanced grow;57147;5630;Soft Fresh payment
4;Naira Versatile seize;47771;28571;EXE
5;web services;80210;1215;Designer Incredible Fresh Car Tuvalu
6;Senior Optional Yemeni Rial;7543;52309;Savings Account
7;heuristic Orchestrator Naira;38420;90115;Unbranded Plastic Chips Brand Regional
8;Generic B2B;16967;18812;Junctions one-to-one
9;analyzing holistic;25994;98621;Kwanza Falkland Islands (Malvinas)
10;schemas;60278;68473;Keyboard
